DepartureTime,DeparturePlace,ArrivalPlace,Occupancy,Day
6:30 ,Dubki,Odintsovo,low,Monday-Friday
6:45,Dubki,Odintsovo,extra-low,Monday-Friday
6:55,Dubki,Odintsovo,extra-low,Monday-Friday
7:5,Dubki,Odintsovo,extra-low,Monday-Friday
7:10,Dubki,Odintsovo,extra-low,Monday-Friday
7:20,Dubki,Odintsovo,low,Monday-Friday
7:25,Dubki,Odintsovo,medium,Monday-Friday
7:30,Dubki,Odintsovo,low,Monday-Friday
7:35,Dubki,Odintsovo,extra-low,Monday-Friday
7:40,Dubki,Odintsovo,medium,Monday-Friday
7:45,Dubki,Odintsovo,low,Monday-Friday
7:55,Dubki,Odintsovo,low,Monday-Friday
8:00,Dubki,Odintsovo,low,Monday-Friday
08:05,Dubki,Odintsovo,low,Monday-Friday
8:18,Dubki,Odintsovo,low,Monday-Friday
8:35,Dubki,Odintsovo,extra-high,Monday-Friday
8:40,Dubki,Odintsovo,high,Monday-Friday
8:45,Dubki,Odintsovo,extra-high,Monday-Friday
8:50,Dubki,Odintsovo,medium,Monday-Friday
9:00,Dubki,Odintsovo,high,Monday-Friday
09:05,Dubki,Odintsovo,extra-high,Monday-Friday
09:10,Dubki,Odintsovo,extra-high,Monday-Friday
9:15,Dubki,Odintsovo,low,Monday-Friday
9:35,Dubki,Odintsovo,low,Monday-Friday
9:45,Dubki,Odintsovo,low,Monday-Friday
9:55,Dubki,Odintsovo,extra-low,Monday-Friday
10:15,Dubki,Odintsovo,high,Monday-Friday
10:30,Dubki,Odintsovo,medium,Monday-Friday
10:33,Dubki,Odintsovo,low,Monday-Friday
10:38,Dubki,Odintsovo,low,Monday-Friday
10:50,Dubki,Odintsovo,high,Monday-Friday
11:15,Dubki,Odintsovo,low,Monday-Friday
11:30,Dubki,Odintsovo,low,Monday-Friday
11:45,Dubki,Odintsovo,extra-low,Monday-Friday
11:55,Dubki,Odintsovo,low,Monday-Friday
12:00,Dubki,Odintsovo,medium,Monday-Friday
12:20,Dubki,Odintsovo,high,Monday-Friday
12:50,Dubki,Odintsovo,medium,Monday-Friday
13:20,Dubki,Odintsovo,medium,Monday-Friday
13:50,Dubki,Odintsovo,extra-low,Monday-Friday
14:5,Dubki,Odintsovo,extra-low,Monday-Friday
14:35,Dubki,Odintsovo,extra-low,Monday-Friday
14:50,Dubki,Odintsovo,extra-low,Monday-Friday
15:20,Dubki,Odintsovo,extra-low,Monday-Friday
15:36,Dubki,Odintsovo,extra-low,Monday-Friday
15:59,Dubki,Odintsovo,extra-low,Monday-Friday
16:15,Dubki,Odintsovo,extra-low,Monday-Friday
16:25,Dubki,Odintsovo,extra-low,Monday-Friday
16:36,Dubki,Odintsovo,extra-low,Monday-Friday
16:45,Dubki,Odintsovo,extra-low,Monday-Friday
17:00,Dubki,Odintsovo,extra-low,Monday-Friday
17:10,Dubki,Odintsovo,extra-low,Monday-Friday
17:20,Dubki,Odintsovo,extra-low,Monday-Friday
17:30,Dubki,Odintsovo,extra-low,Monday-Friday
17:45,Dubki,Odintsovo,extra-low,Monday-Friday
17:55,Dubki,Odintsovo,extra-low,Monday-Friday
18:00,Dubki,Odintsovo,extra-low,Monday-Friday
18:05,Dubki,Odintsovo,extra-low,Monday-Friday
18:15,Dubki,Odintsovo,extra-low,Monday-Friday
18:35,Dubki,Odintsovo,extra-low,Monday-Friday
18:50,Dubki,Odintsovo,extra-low,Monday-Friday
18:55,Dubki,Odintsovo,extra-low,Monday-Friday
19:10,Dubki,Odintsovo,low,Monday-Friday
19:15,Dubki,Odintsovo,extra-low,Monday-Friday
19:30,Dubki,Odintsovo,extra-low,Monday-Friday
19:47,Dubki,Odintsovo,extra-low,Monday-Friday
20:00,Dubki,Odintsovo,extra-low,Monday-Friday
20:4,Dubki,Odintsovo,extra-low,Monday-Friday
20:17,Dubki,Odintsovo,extra-low,Monday-Friday
20:24,Dubki,Odintsovo,extra-low,Monday-Friday
20:35,Dubki,Odintsovo,extra-low,Monday-Friday
20:50,Dubki,Odintsovo,extra-low,Monday-Friday
21:00,Dubki,Odintsovo,extra-low,Monday-Friday
21:05,Dubki,Odintsovo,extra-low,Monday-Friday
21:17,Dubki,Odintsovo,extra-low,Monday-Friday
21:32,Dubki,Odintsovo,extra-low,Monday-Friday
21:40,Dubki,Odintsovo,extra-low,Monday-Friday
21:48,Dubki,Odintsovo,extra-low,Monday-Friday
21:54,Dubki,Odintsovo,extra-low,Monday-Friday
22:00,Dubki,Odintsovo,extra-low,Monday-Friday
22:17,Dubki,Odintsovo,extra-low,Monday-Friday
22:40,Dubki,Odintsovo,extra-low,Monday-Friday
22:55,Dubki,Odintsovo,extra-low,Monday-Friday
23:15,Dubki,Odintsovo,extra-low,Monday-Friday
23:50,Dubki,Odintsovo,extra-low,Monday-Friday
11:37,Odintsovo,Dubki,extra-low,Monday-Friday
11:47,Odintsovo,Dubki,extra-low,Monday-Friday
12:00,Odintsovo,Dubki,extra-low,Monday-Friday
12:12,Odintsovo,Dubki,extra-low,Monday-Friday
12:24,Odintsovo,Dubki,extra-low,Monday-Friday
12:40,Odintsovo,Dubki,extra-low,Monday-Friday
13:10,Odintsovo,Dubki,low,Monday-Friday
13:40,Odintsovo,Dubki,extra-low,Monday-Friday
14:10,Odintsovo,Dubki,extra-low,Monday-Friday
14:25,Odintsovo,Dubki,extra-low,Monday-Friday
14:55,Odintsovo,Dubki,extra-low,Monday-Friday
15:10,Odintsovo,Dubki,low,Monday-Friday
15:40,Odintsovo,Dubki,low,Monday-Friday
15:57,Odintsovo,Dubki,extra-low,Monday-Friday
16:15,Odintsovo,Dubki,high,Monday-Friday
16:32,Odintsovo,Dubki,extra-high,Monday-Friday
16:45,Odintsovo,Dubki,medium,Monday-Friday
16:59,Odintsovo,Dubki,low,Monday-Friday
17:09,Odintsovo,Dubki,low,Monday-Friday
17:24,Odintsovo,Dubki,extra-low,Monday-Friday
17:32,Odintsovo,Dubki,low,Monday-Friday
17:42,Odintsovo,Dubki,high,Monday-Friday
17:55,Odintsovo,Dubki,medium,Monday-Friday
18:09,Odintsovo,Dubki,extra-high,Monday-Friday
18:15,Odintsovo,Dubki,low,Monday-Friday
18:24,Odintsovo,Dubki,extra-low,Monday-Friday
18:30,Odintsovo,Dubki,medium,Monday-Friday
18:41,Odintsovo,Dubki,low,Monday-Friday
19:00,Odintsovo,Dubki,high,Monday-Friday
19:10,Odintsovo,Dubki,high,Monday-Friday
19:24,Odintsovo,Dubki,low,Monday-Friday
19:30,Odintsovo,Dubki,extra-high,Monday-Friday
19:42,Odintsovo,Dubki,extra-high,Monday-Friday
19:55,Odintsovo,Dubki,extra-high,Monday-Friday
20:10,Odintsovo,Dubki,high,Monday-Friday
